"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"6 093 résultats trouvés pour recycling AND plastic AND '3D printing'";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"257";"PRODUITS MOULÉS EN PLASTIQUE ET LEUR PROCÉDÉ DE PRÉPARATION";"CHAE EUN YOUNG [KR]";"LOTTE CHEMICAL CORP [KR]";"WO2025110583A1";"2023-09-05";"B29B17/02 
B29C33/42 
B29C45/37 
B29C45/40 
G06K19/06";"B29B17/02 (EP) 
B29C33/42 (EP) 
B29C45/37 (EP) 
B29C45/40 (EP) 
G06K19/06 (EP) 
Y02W30/62 (EP)";"2025-05-30";"2025-05-30";"095827911";
"258";"PHBV-based degradable 3D printing consumable";"XIAO WENTAO";"JIANGSU DAOQIN NEW MAT TECH CO LTD";"CN105419270A";"2015-12-23";"C08K5/098 
C08K5/103 
C08K5/12 
C08K5/134 
C08K5/20 
C08L3/04 
C08L67/04";"C08L3/04 (CN) 
C08L67/04 (CN) 
C08L2201/06 (CN) 
C08L3/04, C08L67/04, C08K5/098, C08K5/1345, C08K5/20, C08K5/103, C08K5/12, INV (CN)       
C08L67/04, C08L3/04, C08K5/098, C08K5/1345, C08K5/20, C08K5/103, C08K5/12, INV (CN)      ";"2016-03-23";"2016-03-23";"055497834";
"259";"Polyhydroxybutyrate-based degradable 3D (Three Dimensional) printing supplies";"XIAO WENTAO";"JIANGSU DAOQIN NEW MSTAR TECH LTD";"CN105462201A";"2015-12-23";"C08K5/098 
C08K5/103 
C08K5/12 
C08K5/134 
C08K5/20 
C08K5/526 
C08L3/04 
C08L67/04";"C08L3/04 (CN) 
C08L67/04 (CN) 
C08L2201/06 (CN) 
C08L3/04, C08L67/04, C08K5/098, C08K5/1345, C08K5/12, INV (CN)       
C08L3/04, C08L67/04, C08K5/103, C08K5/526, C08K5/12, INV (CN)       
C08L67/04, C08L3/04, C08K5/098, C08K5/1345, C08K5/12, INV (CN)       
C08L67/04, C08L3/04, C08K5/103, C08K5/526, C08K5/12, INV (CN)       
C08L67/04, C08L3/04, C08K5/20, C08K5/1345, C08K5/12, INV (CN)      ";"2016-04-06";"2016-04-06";"055600387";
"260";"Device of plastics recycling preparation 3D printing consumables";"FU ZUOQIANG 
YANG ERRUI 
SHANG CHENCHEN 
HOU MENGLI 
ZHANG JIAYUAN 
WANG YUAN 
NIE RONGCHUN";"UNIV ANHUI SCIENCE & TECH";"CN206106154U";"2016-09-07";"B02C1/14 
B02C18/12 
B02C19/18 
B29B17/04 
B29C47/00 
B33Y70/00";"Y02W30/52 (EP) 
Y02W30/62 (EP)";"2017-04-19";"2017-04-19";"058519536";
"261";"MARQUAGE NUMÉRIQUE D'ARTICLES POUR LE RECYCLAGE";"SHARMA RAVI K [US] 
FILLER TOMAS [US] 
HOLUB VOJTECH [US] 
ALATTAR OSAMA M [US] 
BRUNK HUGH L [US] 
LORD JOHN D [US] 
RHOADS GEOFFREY B [US] 
CONWELL WILLIAM Y [US] 
KAMATH AJITH M [US]";"DIGIMARC CORP [US]";"EP3903228A1 
EP3903228B1";"2019-03-13";"B29B17/02 
B42D25/324 
B42D25/333 
G06K9/20 
G06Q10/08 
G06K19/06 
G06K19/063 
G06V10/22 
B29B17/02 
G06Q30/06 
G06V10/143 
G06V10/145";"B07C5/342 (EP) 
B29B17/02 (EP) 
B29C45/40 (CN) 
B41M5/0064 (CN) 
B41M5/0082 (CN) 
G06K19/06037 (EP,US) 
G06K19/063 (EP) 
G06V10/143 (US) 
G06V10/145 (US) 
G06V10/225 (EP,US) 
G06V10/50 (EP) 
B29B2017/0279 (EP) 
B29B2017/0282 (EP) 
G06Q30/06 (EP) 
G06V10/143 (EP) 
G06V10/145 (EP) 
G06V2201/06 (EP)";"2021-11-03 
2022-09-14";"2020-09-17";"070228846";
"262";"Waste recovery equipment and recovery method for 3D printing";"FU XING 
LIU MAOSHENG";"NANGJIANG ADDE XIN INTELLIGENT TECH CO LTD";"CN114407363A 
CN114407363B";"2022-01-26";"B29C64/357 
B33Y40/00";"B29C64/357 (CN) 
B33Y40/00 (CN) 
Y02P70/10 (EP)";"2022-04-29 
2023-05-09";"2022-04-29";"081278275";
"263";"3D printing material based on decoration waste reclaimed material, preparation method of 3D printing material and application of 3D printing material in 3D printing sound barrier";"XIAO JIANZHUANG 
SHEN JIANYU 
HOU MINJIE 
DING TAO 
DUAN ZHENHUA";"UNIV TONGJI";"CN119638316A";"2024-12-10";"B33Y10/00 
B33Y70/10 
C04B28/04 
E01F8/00 
C04B111/40 
C04B111/52";"Y02W30/91 (EP)";"2025-03-18";"2025-03-18";"094943631";
"264";"Integrally-formed pressing bottle based on 3d printing";"FENG XUE";"SHAANXI BENDAI NEW MATERIAL TECH CO LTD";"CN215045236U";"2021-05-23";"B65D1/02 
B65D47/34";"B05B11/0037 (EP) 
B05B11/1023 (EP) 
B05B11/1067 (EP)";"2021-12-07";"2021-12-07";"079212887";
"265";"Powder return pipeline device of metal 3D printing equipment";"ZHOU HONGZHI 
LIANG YINSHENG";"SUZHOU ZRAPID ZHICHUANG 3D TECH CO LTD 
HUNAN ZHONGRUI ZHICHUANG ADDITIVE TECH CO LTD";"CN116833430A";"2022-03-24";"B08B9/043 
B22F10/73 
B22F12/00 
B33Y30/00 
B33Y40/00";"B08B9/0436 (CN) 
B22F10/73 (CN) 
B22F12/00 (CN) 
B33Y30/00 (CN) 
B33Y40/00 (CN) 
Y02P10/25 (EP)";"2023-10-03";"2023-10-03";"088160400";
"266";"Consumable drying device for 3D printing";"LI SHANGYI";"XUZHOU QICHUANG MFG CO LTD";"CN116330647A 
CN116330647B";"2023-04-13";"B29C64/20 
B33Y30/00";"B29C64/20 (CN) 
B33Y30/00 (CN) 
Y02P70/10 (EP)";"2023-06-27 
2023-10-10";"2023-06-27";"086884175";
"267";"Polyglycolic acid-based degradable 3D printing consumable";"XIAO WENTAO";"JIANGSU DAOQIN NEW MAT TECH CO LTD";"CN105419268A";"2015-12-23";"B29C67/24 
B33Y70/00 
C08K13/02 
C08K5/098 
C08K5/12 
C08K5/134 
C08K5/20 
C08L3/04 
C08L67/04";"B29C67/24 (CN) 
C08L67/04 (CN) 
C08K2201/014 (CN) 
C08L2201/06 (CN) 
C08L67/04, C08L3/04, C08K13/02, C08K5/098, C08K5/1345, C08K5/12, INV (CN)       
C08L67/04, C08L3/04, C08K13/02, C08K5/103, C08K5/12, C08K5/526, INV (CN)       
C08L67/04, C08L3/04, C08K13/02, C08K5/20, C08K5/1345, C08K5/12, INV (CN)      ";"2016-03-23";"2016-03-23";"055497832";
"268";"3D printing equipment";"LI XILU 
ZHOU LIFENG 
LI NANA 
ZHOU JIANGBAO";"SHENZHEN CHENGYI TECH CO LTD";"CN211390148U";"2019-10-25";"B29C64/124 
B29C64/255 
B33Y30/00";"";"2020-09-01";"2020-09-01";"072225069";
"269";"Three-dimensional (3D) printing environment-friendly consumable";"ZHONG ZHENHONG";"GUANGXI FENGDA THREE DIMENSIONAL TECH CO LTD";"CN107556769A";"2017-09-05";"B33Y70/00 
C08K13/06 
C08K3/04 
C08K3/22 
C08K3/32 
C08K3/38 
C08K5/098 
C08K5/103 
C08K5/12 
C08K5/134 
C08K5/17 
C08K5/524 
C08K5/544 
C08K9/04 
C08L101/00 
C08L3/02 
C08L33/04 
C08L51/04 
C08L67/04 
C08L83/04 
C08L93/04 
C08L97/02";"";"2018-01-09";"2018-01-09";"060977969";
"270";"Residual material collecting device for 3D printing";"XIONG QIANYU 
LYU JIANTAO 
CHENG ZECHUAN";"WANGYUN WUHAN 3D TECH CO LTD";"CN108357104A 
CN108357104B";"2017-12-28";"B29C64/357 
B33Y30/00";"B29C64/357 (CN) 
B33Y30/00 (CN)";"2018-08-03 
2021-06-22";"2018-08-03";"063010545";
"271";"3D printing supplies for recycling and regeneration";"DUAN YUEQIANG";"ANHUI AOSIBO MEDICAL INSTR EQUIPMENT CO LTD";"CN106396500A";"2016-08-31";"B33Y70/00 
C04B26/22";"B33Y70/00 (CN) 
C04B26/22 (CN) 
C04B2111/00181 (CN) 
C04B26/22, C04B24/24, C04B14/34, C04B2103/0068, C04B14/386, C04B20/0048, INV (CN)       
C04B26/22, C04B24/24, C04B14/34, C04B2103/0068, C04B20/0048, INV (CN)      ";"2017-02-15";"2017-02-15";"058001910";
"272";"Recovery processing method of photosensitive resin waste for SLA 3D printing";"SUN XIAOYU 
WU JIEHUA 
QIU HAIPING";"ZHEJIANG JINZHAO INTELLIGENT TECH CO LTD";"CN115534170A";"2022-08-03";"B29B17/00";"B29B17/00 (CN) 
Y02W30/62 (EP)";"2022-12-30";"2022-12-30";"084724265";
"273";"Intelligent 3D printing consumable recovery device";"WU ZENGFU";"GUANGZHOU YUNYE TECH CO LTD";"CN111791494A";"2020-08-14";"B29C64/357 
B33Y40/00";"B29C64/357 (CN) 
B33Y40/00 (CN)";"2020-10-20";"2020-10-20";"072834442";
"274";"3D printer with 3D printing material recovery device";"YU CHONGYANG";"FUJIAN QUANZHOU ZHENYUE ARTS & CRAFTS CO LTD";"CN213051451U";"2020-08-17";"B07B1/28 
B07B1/46 
B22F3/105 
B33Y30/00";"Y02P10/25 (EP)";"2021-04-27";"2021-04-27";"075583353";
"275";"Graphene 3D printing material with high melt index";"QIN YANGHUA";"GUANGXI ZHUMENG SANTI TECH CO LTD";"CN106566217A";"2016-11-17";"B33Y70/00 
C08K13/06 
C08K3/04 
C08K3/26 
C08K3/32 
C08K3/38 
C08K5/12 
C08K9/00 
C08L101/00 
C08L3/04 
C08L67/04";"B33Y70/00 (CN) 
C08L67/04 (CN) 
C08L2201/08 (CN) 
C08L2205/035 (CN) 
C08L67/04, C08L101/00, C08L3/04, C08K13/06, C08K9/00, C08K3/04, C08K2003/324, C08K5/12, C08K2003/387, C08K2003/262, INV (CN)      ";"2017-04-19";"2017-04-19";"058542233";
"276";"SMART HANDLING OF MATERIALS FOR THREE-DIMENSIONAL (3D) PRINTERS";"LAKHANI SHIRIN [US]";"LAKHANI SHIRIN [US]";"US2020009791A1";"2018-07-05";"B29C64/264 
B29C64/314 
B29C64/357 
B29C64/393";"B29C64/264 (EP,US) 
B29C64/314 (EP,US) 
B29C64/357 (EP,US) 
B29C64/393 (EP,US) 
B33Y10/00 (EP) 
B33Y30/00 (EP) 
B33Y50/02 (EP) 
B29L2031/52 (US) 
B29L2031/748 (US) 
B33Y10/00 (US) 
B33Y30/00 (US) 
B33Y40/00 (EP,US) 
B33Y50/02 (US)";"2020-01-09";"2020-01-09";"069101802";
"277";"3D printed solid waste concrete member and preparation method";"MA GUOWEI 
ZHANG MO 
WANG LI 
ZHOU BOYU";"UNIV HEBEI TECHNOLOGY";"CN111233407A 
CN111233407B";"2020-03-12";"B33Y70/00 
B33Y80/00 
C04B28/04 
C04B28/06";"B33Y70/00 (CN) 
B33Y80/00 (CN) 
C04B28/04 (CN) 
C04B28/06 (CN) 
C04B2111/00017 (CN) 
C04B2111/00181 (CN) 
C04B2201/20 (CN) 
C04B2201/50 (CN) 
C04B28/04, C04B18/08, C04B18/146, C04B14/06, C04B2103/302, C04B14/048, C04B14/28, C04B14/02, C04B18/20, C04B22/10, C04B22/147, C04B24/06, INV (CN)       
C04B28/06, C04B7/02, C04B18/08, C04B18/146, C04B14/06, C04B16/0675, C04B22/064, C04B2103/10, C04B2103/302, INV (CN)      ";"2020-06-05 
2020-12-18";"2020-06-05";"070873212";
"278";"Efficient and energy-saving decoration waste treatment and recycling method";"DU YUNFENG 
WU LINA 
GU LIN";"CHANGCHUN KUNLUN CONSTRUCTION CO LTD";"CN118106325A";"2024-04-07";"B09B3/00 
B09B3/35 
B09B3/38 
B09B3/70 
B09B5/00 
B09B101/45";"B09B3/00 (CN) 
B09B3/35 (CN) 
B09B3/38 (CN) 
B09B3/70 (CN) 
B09B5/00 (CN) 
B09B2101/45 (CN)";"2024-05-31";"2024-05-31";"091219022";
"279";"Recycling device for 3D printing material";"LIU REN'ANG";"LIU RENANG";"CN109367013A";"2018-11-27";"B29C64/35 
B29C64/357 
B33Y40/00";"B29C64/35 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN)";"2019-02-22";"2019-02-22";"065376886";
"280";"3D Filament for 3D printer containing waste plastic";"KO JUN BIN 
CHOI JONG IN 
JEON WOO HYEOK";"UNIV NAT HANBAT IND ACAD COOP FOUND [KR]";"KR20240075004A";"2022-11-16";"B29B17/04 
B29C64/118 
B29C64/314 
B33Y10/00 
B33Y40/00 
B33Y70/10 
C08K3/08 
C08K5/45 
C08L67/02 
B29K505/00 
B29K67/00";"B29B17/04 (KR) 
B29C64/118 (KR) 
B29C64/314 (KR) 
B33Y10/00 (KR) 
B33Y40/00 (KR) 
B33Y70/10 (KR) 
C08K3/08 (KR) 
C08K5/45 (KR) 
C08L67/02 (KR) 
B29B2017/0468 (KR) 
B29K2067/003 (KR) 
B29K2505/00 (KR) 
C08L2207/20 (KR) 
Y02W30/62 (EP,KR)";"2024-05-29";"2024-05-29";"091277952";
"281";"Composite for 3D printing of automobile parts and preparation method of composite";"HONG HAOWEI";"ANHUI CAREMIC CONSULTING CO LTD";"CN107163507A";"2017-07-12";"B33Y70/00 
C08K13/04 
C08K3/04 
C08K3/08 
C08K3/26 
C08K7/10 
C08K7/14 
C08L101/00 
C08L53/02 
C08L63/10";"B33Y70/00 (CN) 
C08L63/10 (CN) 
C08K2003/265 (CN) 
C08K2201/014 (CN) 
C08L2205/035 (CN) 
C08L2207/20 (CN) 
C08L63/10, C08L101/00, C08L53/02, C08K13/04, C08K7/14, C08K3/08, C08K3/04, C08K3/26, C08K7/10, INV (CN)      ";"2017-09-15";"2017-09-15";"059818337";
"282";"3D printing raw material automatic recovery system";"LYU YUELIN";"WUHU LINYI ELECTRONIC TECH CO LTD";"CN108115938A";"2017-11-16";"B29C64/357 
B33Y40/00";"B33Y40/00 (CN)";"2018-06-05";"2018-06-05";"062227730";
"283";"3D printing material recovery device";"ZOU ZHIBIAO 
HUANG BIN";"WUHU 4 0 AUTOMATION TECH CO LTD";"CN112248445A";"2020-09-16";"B29C64/357 
B33Y40/00";"B29C64/357 (CN) 
B33Y40/00 (CN)";"2021-01-22";"2021-01-22";"074232580";
"284";"3D printing apparatus waste recovery device";"";"WEINAN CITY HIGH-TECH ZONE TORCH TECH DEV CO LTD";"CN204955445U";"2015-08-31";"B22F3/115 
B29C67/00 
B33Y30/00";"";"2016-01-13";"2016-01-13";"055050536";
"285";"Electronic waste-plastic waste recovery resource-regeneration system and method";"YU PENGXIN";"RECHOBOTH FLOURISH LAND LTD";"CN104191541A";"2014-04-03";"B29B17/00";"Y02W30/62 (EP)";"2014-12-10";"2014-12-10";"052076987";
"286";"Graphene 3D printing material with high thermal deformation temperature";"QIN YANGHUA";"GUANGXI ZHUMENG SANTI TECH CO LTD";"CN106589865A";"2016-11-17";"B33Y70/00 
C08B31/00 
C08K13/02 
C08K3/04 
C08K3/32 
C08L101/00 
C08L3/04 
C08L67/04";"B33Y70/00 (CN) 
C08B31/003 (CN) 
C08L67/04 (CN) 
C08L2201/08 (CN) 
C08L2205/035 (CN) 
C08L2207/20 (CN) 
C08L67/04, C08L101/00, C08L3/04, C08K13/02, C08K3/04, C08K2003/324, INV (CN)      ";"2017-04-26";"2017-04-26";"058591434";
"287";"3D printing model dismantling and waste recovery device";"SU YE";"XIAMEN QIALE STATIONERY CO LTD";"CN111907063A";"2020-08-05";"B29C64/35 
B29C64/357 
B29C64/379 
B33Y40/00 
B33Y40/20";"B29C64/35 (CN) 
B29C64/357 (CN) 
B29C64/379 (CN) 
B33Y40/00 (CN) 
B33Y40/20 (CN)";"2020-11-10";"2020-11-10";"073286576";
"288";"Electronic waste and plastic waste recycling machine";"YU PENGXIN";"RECHOBOTH FLOURISH LAND LTD";"CN204263403U";"2014-04-03";"B29B17/00";"Y02W30/62 (EP)";"2015-04-15";"2015-04-15";"052798299";
"289";"3D printing recovery device";"MA ZONGMING";"NINGXIA XUNLIAN TECH CO LTD";"CN210940484U";"2019-08-07";"B29C64/357 
B33Y40/00";"";"2020-07-07";"2020-07-07";"071377295";
"290";"Loose sand clearance in 3D printing apparatus work box, device of retrieving";"DING LINJUN 
DU YINXUE";"NINGXIA KOCEL MOULD CO LTD";"CN204801056U";"2015-06-29";"B29C67/00 
B33Y30/00 
B33Y40/00";"";"2015-11-25";"2015-11-25";"054585945";
"291";"Anti-interference device for laser 3D printer";"GUI XIN 
CUI YIRAN 
GUI PENG 
PAN ZHENGCUN 
ZONG ZE 
ZHOU XIANG 
WU WENSHUANG 
DING SHAN 
LYU CHEN 
ZHENG LANBIN 
WU ZHIHUA 
AI XIAOLEI 
ZHAO WEI 
SUN WENMING 
WU PIN 
BIAN CHEN";"ANHUI CHUNGU 3D PRINTING TECH RESEARCH INSTITUTE OF INTELLIGENT EQUIPMENT INDUSTRY CO LTD";"CN115213431A 
CN115213431B";"2022-07-15";"B22F10/73 
B22F12/00 
B22F12/70 
B33Y30/00";"B22F10/73 (CN) 
B22F12/00 (CN) 
B22F12/70 (CN) 
B33Y30/00 (CN) 
Y02P10/25 (EP)";"2022-10-21 
2024-01-26";"2022-10-21";"083612595";
"292";"- - Printing Method by change of optical property of plastics through crystallization and the ink-free label-free plastic product thereof";"LYU MIN YOUNG 
HONG DAE GI";"FOUND RES & BUSINESS SEOUL NAT UNIV SCI & TECH [KR]";"KR102336959B1 
KR20210106089A";"2020-02-20";"B29C64/10 
B33Y10/00 
B33Y70/00 
B33Y80/00";"B29C64/10 (KR) 
B33Y10/00 (KR) 
B33Y70/00 (KR) 
B33Y80/00 (KR)";"2021-08-30 
2021-12-09";"2021-08-30";"077502026";
"293";"3D printing consumable recovery device";"LENG JING 
HUANG ZHUO 
WANG LIN 
WANG MING 
ZENG YIFANG";"UNIV SOUTHWEST PETROLEUM";"CN108327282A";"2018-02-01";"B29C64/357 
B33Y40/00";"B33Y40/00 (CN)";"2018-07-27";"2018-07-27";"062926915";
"294";"3D printing material recovery device adopting water cooling scheme";"ZHAN TIANYU 
SUN SHUWEN 
QUAN CHENYANG 
BAO JINGHAO 
XIANG XINGYU 
LI SHAOCHEN";"UNIV BEIJING TECHNOLOGY";"CN219748947U";"2023-03-23";"B29C64/357 
B33Y40/00";"";"2023-09-26";"2023-09-26";"088081448";
"295";"Consumable waste recovery device for 3D printing";"ZHOU NIANZU";"WUHAN HAISTATE DEGREE TECH CO LTD";"CN216001471U";"2021-09-23";"B29C64/357 
B33Y40/00";"";"2022-03-11";"2022-03-11";"080591649";
"296";"Method for circularly preparing 3D printing sound-absorbing material by using waste gypsum boards";"WEI YONGQI 
MA XIAOSONG 
YAO WU";"UNIV TONGJI";"CN116041025A";"2023-01-11";"B28B1/00 
B33Y10/00 
B33Y70/10 
C04B11/024 
C04B11/032 
C04B11/26 
C04B28/14 
E04B1/84 
C04B111/52";"B28B1/001 (CN) 
B33Y10/00 (CN) 
B33Y70/10 (CN) 
C04B11/024 (CN) 
C04B11/032 (CN) 
C04B11/26 (CN) 
C04B28/146 (CN) 
E04B1/8409 (CN) 
C04B2111/00181 (CN) 
C04B2111/52 (CN) 
E04B2001/8485 (CN) 
Y02W30/91 (EP) 
C04B28/146, C04B14/062, C04B24/38, C04B24/04, C04B24/2623, INV (CN)      ";"2023-05-02";"2023-05-02";"086119790";
"297";"COMPOSITIONS DE SILICONE RÉTICULABLES DESTINÉES À LA FABRICATION DE PIÈCES FAÇONNÉES HAUTEMENT TRANSPARENTES AU MOYEN D'UN PROCÉDÉ DE FABRICATION PAR JETS MULTIPLES";"ACHENBACH FRANK [DE] 
SELBERTINGER ERNST [DE]";"WACKER CHEMIE AG [DE]";"EP3245047A1 
EP3245047B1";"2016-01-11";"B29C67/00 
C08L83/04 
C08L83/14";"B29C64/10 (KR) 
B29C64/112 (US) 
B33Y10/00 (KR,US) 
B33Y70/00 (EP,KR,US) 
C08G77/20 (EP,US) 
C08L67/00 (KR) 
C08L71/00 (KR) 
C08L83/04 (EP,US) 
C08L83/06 (KR) 
C08L83/14 (EP) 
B29K2083/00 (US) 
B29K2995/0026 (US) 
C08G77/12 (EP,US) 
C08G77/14 (EP,US) 
C08G77/445 (EP) 
C08G77/46 (EP) 
C08L83/14 (US) 
C08L83/04, C08L83/00, C08L83/00%2, INV (EP,US)      ";"2017-11-22 
2018-10-31";"2017-07-20";"055229650";
"298";"3D (Three-dimensional) printer capable of recycling waste plastics";"XU CHUNYAN";"XU CHUNYAN";"CN107672174A";"2017-10-21";"B29B17/00 
B29C64/307 
B33Y40/00";"B29B17/00 (CN) 
B33Y40/00 (CN) 
Y02W30/62 (EP)";"2018-02-09";"2018-02-09";"061140167";
"299";"Metal 3D printing equipment";"GAO YANGJIE 
DAI SHUANSHI 
ZHANG PENGXIANG 
XIE LIN 
LIANG CHENXIAO";"BEIJING SATELLITE NAVIGATION ELECTROMECHANICAL EQUIPMENT LTD COMPANY";"CN114192803A";"2021-11-01";"B22F10/28 
B22F10/68 
B22F10/73 
B22F12/00 
B22F12/30 
B22F12/70 
B22F12/90 
B33Y30/00 
B33Y40/20";"B22F10/28 (CN) 
B22F10/68 (CN) 
B22F10/73 (CN) 
B22F12/00 (CN) 
B22F12/30 (CN) 
B22F12/70 (CN) 
B22F12/90 (CN) 
B33Y30/00 (CN) 
B33Y40/20 (CN) 
Y02P10/25 (EP)";"2022-03-18";"2022-03-18";"080646634";
"300";"3D printing waste recovery equipment";"YANG DE'AN 
YANG CHANG 
LIU ZHIGUANG";"YIXING SHUTAO TECH CO LTD";"CN119369720A";"2024-12-03";"B29B13/06 
B29B17/00 
B29B17/04 
B29C64/357 
B33Y40/00";"B29B13/06 (CN) 
B29B17/00 (CN) 
B29B17/04 (CN) 
B29C64/357 (CN) 
B33Y40/00 (CN) 
B29B2017/0015 (CN) 
Y02W30/52 (EP) 
Y02W30/62 (EP)";"2025-01-28";"2025-01-28";"094325154";
"301";"Method for effectively improving 3D printing precision and strength of hollow part";"DAI RONGHAO 
ZHU JIANGNAN 
HUANG XIANMING";"XIAMEN RUNNER CORP";"CN111873410A";"2020-06-11";"B22F3/00 
B29C64/118 
B29C64/245 
B29C64/357 
B33Y10/00";"B22F3/002 (CN) 
B29C64/118 (CN) 
B29C64/245 (CN) 
B29C64/357 (CN) 
B33Y10/00 (CN)";"2020-11-03";"2020-11-03";"073158315";
"302";"3D printing equipment";"WANG XIAOBIN 
ZENG YUAN 
TANG JIANJIE 
LING XIAOWEI 
CHEN GUOQING";"GUANGZHOU OGGI3D ELECTROMECHANICAL CO LTD";"CN109016068A";"2018-08-24";"B28B1/00 
B33Y30/00";"B28B1/001 (CN) 
B33Y30/00 (CN)";"2018-12-18";"2018-12-18";"064628446";
"303";"3D printing equipment with recovery and purification functions";"SHI XIN";"SHI XIN";"CN109808177A 
CN109808177B";"2019-02-20";"B01D46/10 
B08B15/04 
B29C64/20 
B29C64/357 
B29C64/364 
B33Y30/00 
B33Y40/00";"";"2019-05-28 
2021-04-13";"2019-05-28";"066606955";
"304";"Use energy -concerving and environment -protective type 3D printer of waste plastic bottle as wire rod";"ZHOU YONG 
HUANG TIANHAO 
WU SHUPEI 
LI SHAOBO 
LIU GUANG 
HONG YAWEI 
CHANG LIWEN 
YANG ZITONG 
TAO MENGLUN 
WANG DONGDONG";"UNIV WUHAN TECH";"CN207014790U";"2017-05-12";"B29C64/20 
B29C64/205 
B29C64/227 
B29C64/295 
B29C64/314 
B29C64/321 
B33Y30/00 
B33Y40/00 
B29K67/00";"";"2018-02-16";"2018-02-16";"061475798";
"305";"3D printer with material recovery device";"GE ZHIXIANG 
HUANG CHAO 
LIU ZHANZHI";"HUBEI JIAYI 3D HIGH TECH CO LTD";"CN215473155U";"2021-04-20";"B29C64/20 
B29C64/35 
B29C64/357 
B33Y30/00 
B33Y40/00";"";"2022-01-11";"2022-01-11";"079775306";
"306";"SYSTÈMES DE GESTION ET DE PRISE EN CHARGE DE FLUX DE PROCESSUS D'IMPRESSION TRIDIMENSIONNELLE";"WANHA KANAN [US] 
FERNANDEZ JUAN [US] 
COTTISS EDWARD [US] 
SHI KATIE [US] 
LEHMAN DAVID [US] 
POTEMPA ERIC [US] 
GARAYEV ELVIN [US] 
HEDRICK JAMES [US] 
FLYNN MICHAEL [US] 
HILDNER MATTHEW [US] 
WALKER DAVID [US]";"AZUL 3D INC [US]";"WO2023183310A2 
WO2023183310A3";"2022-03-21";"B29C64/20 
B01D8/00 
B29C64/255 
B29C64/307 
B29C64/364 
B01D1/26 
B01D19/00 
B01D45/00";"B01D19/0042 (EP) 
B29C64/35 (EP) 
B29C64/357 (EP) 
B33Y40/00 (EP) 
B29C64/124 (EP) 
B33Y10/00 (EP)";"2023-09-28 
2023-11-02";"2023-09-28";"088101787";
"307";"Concrete slurry for underwater 3D printing and construction method";"WANG QINGWEI 
HAN SONG 
LI ZI'ANG 
LIU QI 
YANG ZHICHUN 
FENG SHANJING 
LI WENQI 
LYU SUNING 
WANG YANGHAO";"UNIV BEIJING JIAOTONG";"CN117700176A";"2023-12-14";"B28B1/00 
B33Y10/00 
B33Y70/10 
C04B18/20 
C04B28/04 
E02D15/06 
C04B111/27 
C04B111/74";"B28B1/00 (CN) 
B33Y10/00 (CN) 
B33Y70/10 (CN) 
C04B18/20 (CN) 
C04B28/04 (CN) 
E02D15/06 (CN) 
C04B2111/00017 (CN) 
C04B2111/00181 (CN) 
C04B2111/27 (CN) 
C04B2111/74 (CN) 
C04B2201/50 (CN) 
E02D2250/0023 (CN) 
Y02W30/91 (EP) 
C04B28/04, C04B18/146, C04B14/28, C04B14/06, C04B2103/302, C04B2103/0068, C04B24/383, C04B24/24, C04B18/20, C04B20/008, INV (CN)      ";"2024-03-15";"2024-03-15";"090154808";
"308";"In-process 3D print leftover material recycling platform";"ZHU CHANGJIN";"JIANGSU HUAXIA IP SERVICE CO LTD";"CN106626392A";"2016-12-30";"B08B15/04 
B29C64/35 
B29C64/357 
B33Y40/00";"B08B15/04 (CN) 
B33Y40/00 (CN)";"2017-05-10";"2017-05-10";"058839004";
"309";"Waste plastic recycling device and recycling method";"HUANG KUNRONG 
LONG FAYONG 
LI BIN 
KUANG MINJUN 
PENG QIAN 
WANG KEXIAN";"UNIV SOUTH CHINA";"CN110053183A";"2019-04-25";"B29B9/06";"B29B9/06 (CN)";"2019-07-26";"2019-07-26";"067320782";
"310";"Powder recycling mechanism of 3D printer";"SHI ZHANGLONG 
WANG BEIBEI";"HENAN NAJIE ELECTRONIC TECH CO LTD";"CN214448558U";"2020-12-15";"B29C64/357 
B33Y40/00";"";"2021-10-22";"2021-10-22";"078189496";
